Classe,Caractéristique Couleur,Caractéristique LPB,Caractéristique Fréquentielle
0,20.0,"[0.02000075 0.04852764 0.04060246 0.12122521 0.19108699 0.18541541
 0.0865009  0.05771109 0.17277644 0.07615309 0.0531851  0.06971154
 0.05881911 0.09074519 0.12785457 0.14633413 0.08082933 0.07264123
 0.17480469 0.12507512 0.07361779 0.08022837 0.04417067 0.08503606
 0.11147837 0.17397837 0.06159856 0.08383413 0.15384615 0.13221154]","[ 6.44961852e-04  1.98888519e-09  3.32929848e-12  1.00300307e-13
 -3.66789336e-26 -3.56705566e-18 -4.48780441e-26]"
0,25.0,"[0.00961538 0.0244704  0.01975661 0.0710637  0.13981746 0.17230694
 0.0470628  0.03602013 0.44317157 0.03671499 0.02351262 0.03515625
 0.02719351 0.06310096 0.12139423 0.18013822 0.04522236 0.04815204
 0.39325421 0.0628756  0.03365385 0.0405649  0.02824519 0.05859375
 0.11778846 0.21183894 0.04627404 0.05528846 0.33082933 0.07692308]","[6.44845935e-04 5.11810396e-09 9.15678211e-13 1.05156673e-14
 3.65058565e-28 5.19399520e-19 9.65140566e-28]"
0,21.0,"[0.01570012 0.04171049 0.02745643 0.09298002 0.14535757 0.17465445
 0.07080078 0.0555326  0.31056566 0.06524189 0.04259315 0.05957031
 0.03928786 0.07361779 0.10441707 0.15790264 0.06505409 0.07331731
 0.27516526 0.10907452 0.05138221 0.05348558 0.04176683 0.08924279
 0.10096154 0.17127404 0.06580529 0.0703125  0.23647837 0.11929087]","[ 6.27699564e-04  1.51375033e-09  1.01961792e-12  1.02757174e-15
  7.94608806e-30  1.85442707e-20 -3.22980221e-29]"
0,48.0,"[0.01603816 0.04364483 0.03506235 0.11485877 0.18177209 0.194843
 0.08663236 0.05243389 0.21050556 0.06420898 0.04995493 0.06430288
 0.0539363  0.0855619  0.11748798 0.15144231 0.07406851 0.07376803
 0.20838341 0.12109375 0.07331731 0.05799279 0.046875   0.07872596
 0.09314904 0.15745192 0.06069712 0.07211538 0.20072115 0.15895433]","[ 6.54261055e-04  1.58749114e-12  8.60807427e-16  3.35559122e-16
 -1.76707884e-31 -4.20321019e-22  3.60418192e-32]"
0,30.0,"[0.01096755 0.03759766 0.022029   0.10552509 0.16819411 0.22564228
 0.0866887  0.05682843 0.22738882 0.05913837 0.03733474 0.05649038
 0.04387019 0.09157151 0.13048377 0.17405349 0.07820012 0.07286659
 0.20718149 0.10794772 0.04266827 0.05528846 0.05108173 0.08984375
 0.14483173 0.18930288 0.06610577 0.06941106 0.18028846 0.11117788]","[ 6.53598751e-04  1.70590583e-15  1.52199937e-18  3.25637600e-19
 -2.29249796e-37 -1.34496828e-26 -1.53791901e-40]"
0,19.0,"[0.01673302 0.04334435 0.02709961 0.08381535 0.13074669 0.15839093
 0.06604943 0.05667819 0.34893329 0.06820913 0.04086538 0.0554387
 0.03665865 0.07008714 0.09908353 0.14190204 0.06114784 0.06805889
 0.32128906 0.10546875 0.04086538 0.05018029 0.03545673 0.0874399
 0.12199519 0.19170673 0.05709135 0.06310096 0.25691106 0.0952524 ]","[ 6.41321374e-04  5.58726109e-09  1.80427868e-13  4.88375301e-14
 -2.19645393e-27 -3.38373198e-18 -4.02396549e-27]"
0,31.0,"[0.01770959 0.04522236 0.03459285 0.09823843 0.14235276 0.1719689
 0.07348633 0.05504432 0.29578576 0.06559871 0.04987981 0.06257512
 0.04161659 0.07256611 0.09690505 0.12710337 0.06535457 0.0691857
 0.29995493 0.11485877 0.05979567 0.06189904 0.03996394 0.07842548
 0.10396635 0.15955529 0.04777644 0.06280048 0.2719351  0.11388221]","[ 6.55965495e-04  3.11232241e-09  4.24759551e-19  1.03652679e-19
 -1.87974079e-38  3.79414756e-24  1.09399800e-38]"
0,17.0,"[0.01094877 0.02858323 0.01549354 0.04723182 0.0767165  0.11510291
 0.04079026 0.03506235 0.58691406 0.04315655 0.02666767 0.03478065
 0.01870493 0.03951322 0.05844351 0.12665264 0.03297776 0.04695012
 0.54845252 0.06685697 0.02584135 0.03485577 0.02133413 0.05378606
 0.05889423 0.16706731 0.03185096 0.05078125 0.49579327 0.05979567]","[ 6.30156375e-04  1.32923158e-09  1.81414505e-12  2.93902763e-15
 -2.09120945e-29 -6.01414046e-20 -2.13584514e-28]"
0,26.0,"[0.01017879 0.02779447 0.01678936 0.07177734 0.11435171 0.2024677
 0.0484713  0.04450871 0.40998723 0.05367338 0.02351262 0.03410457
 0.02433894 0.07294171 0.12364784 0.22536058 0.0483774  0.05018029
 0.33413462 0.06340144 0.02824519 0.03575721 0.02524038 0.09405048
 0.15114183 0.24128606 0.05288462 0.0561899  0.25090144 0.06430288]","[ 1.05679574e-03  1.91315077e-07  1.40945595e-11  3.73165894e-11
  8.39616678e-22  1.62462636e-14 -1.65707629e-22]"
1,15.0,"[0.0069674  0.02178486 0.01089243 0.05992713 0.10593825 0.17089844
 0.04796424 0.03938176 0.49432843 0.04191707 0.01509916 0.02185998
 0.01998197 0.06798377 0.12004207 0.16819411 0.04717548 0.04026442
 0.44884315 0.05055589 0.01532452 0.0219351  0.02043269 0.08413462
 0.13882212 0.23167067 0.04326923 0.0453726  0.34975962 0.04927885]","[ 6.42238978e-04  1.39748479e-09  1.44039865e-12  8.77772108e-14
 -1.59895139e-26  1.12908302e-18 -2.68046709e-26]"
1,18.0,"[0.01594426 0.02482722 0.02146559 0.0692796  0.15442834 0.09731821
 0.03423603 0.03288386 0.5084698  0.04114709 0.01262019 0.01802885
 0.02636719 0.09667969 0.15707632 0.10682091 0.03688401 0.02892127
 0.48640325 0.03019832 0.01682692 0.0249399  0.03816106 0.1108774
 0.1015625  0.13882212 0.03816106 0.03725962 0.45132212 0.04206731]","[ 1.07856077e-03  2.95867023e-07  2.77140127e-12  2.39877499e-12
 -6.01108293e-24  3.60937025e-16  1.45605556e-24]"
1,14.0,"[0.0138409  0.02135291 0.01941857 0.05682843 0.09940279 0.0769982
 0.02721229 0.02854567 0.62004207 0.03635817 0.01066707 0.02013221
 0.0219351  0.07053786 0.10742188 0.08721454 0.0253155  0.02651743
 0.59960938 0.03064904 0.01923077 0.03034856 0.02944712 0.07211538
 0.05168269 0.13161058 0.0234375  0.02944712 0.56911058 0.04356971]","[9.52580949e-04 4.58215702e-07 1.10862479e-13 1.16295171e-13
 1.29985071e-26 7.39524697e-17 2.32550116e-27]"
1,13.0,"[0.01382212 0.03585111 0.02358774 0.0788762  0.14586463 0.14776142
 0.0550631  0.04646184 0.40572416 0.04698768 0.02148438 0.03207632
 0.03583233 0.0870643  0.14701022 0.14505709 0.05078125 0.04477163
 0.37605168 0.05987079 0.02283654 0.03305288 0.04417067 0.10847356
 0.14513221 0.15835337 0.05198317 0.04296875 0.3374399  0.05558894]","[6.81071684e-04 3.65061423e-08 4.56279154e-16 4.51194575e-17
 4.37556864e-34 3.31400418e-21 6.45902358e-33]"
1,17.0,"[0.01842323 0.03543795 0.02576623 0.07575871 0.16631611 0.12941331
 0.04007662 0.04097806 0.41734901 0.05048077 0.01404748 0.02569111
 0.02907151 0.10314002 0.18765024 0.13514123 0.0390625  0.0316256
 0.38731971 0.0472506  0.02043269 0.03094952 0.0390625  0.11448317
 0.14513221 0.16316106 0.04266827 0.04447115 0.34975962 0.04987981]","[7.11268070e-04 7.58829050e-08 1.35272453e-14 1.18464698e-14
 1.34856746e-28 1.86127920e-18 6.55970498e-29]"
